user_id,company_name,signup_date,plan,monthly_fee,customer_status,last_login,total_revenue_generated,ticket_id,issue_type,priority,submission_date,resolution_date,ticket_status,feedback_score,ticket_resolution_time
35,"White, Baldwin and Marshall",2023-08-12,Enterprise,199,Active,2023-10-30,3781,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
36,Cox-Harris,2024-02-14,Enterprise,199,Canceled,2024-07-18,398,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
37,"Sampson, Marsh and Humphrey",2024-01-14,Enterprise,199,Canceled,2025-01-28,2388,542,Other,High,2024-07-22,2024-08-03,Resolved,2.0,12.0
38,"Duarte, Powers and Zimmerman",2023-08-29,Professional,97,Canceled,2024-06-26,1067,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
39,Barrett-Williams,2023-04-30,Professional,97,Canceled,2024-10-04,1067,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
40,"Brown, Smith and Fisher",2024-05-09,Enterprise,199,Canceled,2024-09-20,1990,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
41,Michael-Jones,2024-11-18,Professional,97,Active,2024-12-14,1552,999,Other,Medium,2024-12-13,2024-12-23,In Progress,0.0,10.0
42,Trevino PLC,2023-07-08,Starter,47,Active,2024-05-19,517,49,Other,High,2025-01-06,,Open,0.0,0.0
42,Trevino PLC,2023-07-08,Starter,47,Active,2024-05-19,517,272,Login Issues,High,2024-09-30,2024-10-25,In Progress,0.0,25.0
43,"Hester, Gates and Lewis",2023-07-22,Professional,97,Canceled,2023-11-06,1164,326,Technical Issue,Low,2024-05-21,,Open,0.0,0.0
44,Thomas-Lee,2024-06-02,Starter,47,Canceled,2025-01-24,188,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
45,Thomas-Johnson,2023-09-13,Professional,97,Canceled,2023-12-04,970,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
46,"Clark, Fernandez and Fuentes",2023-03-24,Professional,97,Canceled,2024-02-18,873,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
47,Cooper-Clark,2024-09-24,Starter,47,Canceled,2024-10-12,47,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
48,"Ramirez, Hernandez and Adams",2023-12-14,Enterprise,199,Canceled,2024-08-16,796,181,Technical Issue,High,2024-05-11,2024-05-27,Resolved,5.0,16.0
49,"Jones, Barnett and Wilkinson",2024-06-22,Enterprise,199,Canceled,2024-07-19,1990,605,Technical Issue,Low,2024-04-30,,Open,0.0,0.0
50,Miller PLC,2024-02-19,Professional,97,Canceled,2024-03-09,873,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
51,"Ramirez, Hale and Patterson",2024-12-08,Professional,97,Canceled,2024-12-23,582,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
52,"Gonzalez, Young and Allen",2023-07-19,Starter,47,Canceled,2024-07-29,423,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
53,Cummings and Sons,2024-07-09,Professional,97,Canceled,2024-07-31,1067,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
54,Valdez Inc,2024-05-05,Professional,97,Active,2024-07-09,291,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
55,Howard LLC,2025-01-06,Starter,47,Canceled,2025-01-31,94,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
56,Jones LLC,2023-03-16,Professional,97,Canceled,2024-07-28,97,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
57,Berry and Sons,2023-10-30,Starter,47,Active,2024-12-30,752,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
58,"Warren, Jones and Richardson",2023-04-21,Starter,47,Active,2024-05-18,423,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
59,Pham-Smith,2024-10-27,Starter,47,Active,2024-11-26,47,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
60,Montgomery Inc,2024-04-07,Starter,47,Canceled,2024-07-12,47,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
61,Howard LLC,2023-12-25,Starter,47,Canceled,2024-03-27,470,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
62,Torres LLC,2024-12-23,Starter,47,Canceled,2025-01-25,329,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
63,"Lee, Rogers and Mitchell",2024-11-30,Enterprise,199,Canceled,2024-12-04,1990,464,Login Issues,Low,2024-10-18,2024-10-22,Resolved,4.0,4.0
63,"Lee, Rogers and Mitchell",2024-11-30,Enterprise,199,Canceled,2024-12-04,1990,557,Login Issues,Low,2024-06-13,2024-07-03,Resolved,5.0,20.0
64,Williams-Harper,2024-04-08,Enterprise,199,Active,2024-12-04,3980,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
65,"Fields, Phelps and Taylor",2023-12-14,Professional,97,Active,2024-06-27,1067,893,Other,High,2025-01-05,2025-01-22,In Progress,0.0,17.0
66,"Young, Diaz and Thomas",2023-02-17,Starter,47,Canceled,2024-04-27,376,251,Billing Query,High,2024-12-17,2025-01-05,Resolved,3.0,19.0
66,"Young, Diaz and Thomas",2023-02-17,Starter,47,Canceled,2024-04-27,376,784,Technical Issue,Medium,2024-03-13,2024-03-28,In Progress,0.0,15.0
67,"Perry, Kim and Thomas",2023-12-13,Enterprise,199,Active,2024-04-18,1791,77,Feature Request,High,2024-10-07,2024-11-03,In Progress,0.0,27.0
67,"Perry, Kim and Thomas",2023-12-13,Enterprise,199,Active,2024-04-18,1791,191,Login Issues,Medium,2024-04-08,,Open,0.0,0.0
68,Richardson-Bray,2023-02-10,Professional,97,Canceled,2024-01-08,776,286,Billing Query,High,2024-12-23,,Open,0.0,0.0
68,Richardson-Bray,2023-02-10,Professional,97,Canceled,2024-01-08,776,650,Technical Issue,Medium,2024-12-26,2025-01-24,In Progress,0.0,29.0
69,Combs-Campbell,2024-10-24,Starter,47,Active,2025-01-04,188,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
70,Smith PLC,2024-06-09,Starter,47,Canceled,2024-12-15,470,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
71,Santos-May,2023-09-23,Professional,97,Canceled,2024-02-10,97,517,Billing Query,Low,2025-01-25,2025-02-14,Resolved,2.0,20.0
72,Long-Fox,2024-12-28,Enterprise,199,Canceled,2025-01-17,796,410,Other,High,2024-08-29,2024-09-17,In Progress,0.0,19.0
72,Long-Fox,2024-12-28,Enterprise,199,Canceled,2025-01-17,796,553,Billing Query,High,2024-07-12,,Open,0.0,0.0
73,Stewart Group,2024-05-28,Professional,97,Active,2024-08-01,291,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
74,Palmer LLC,2023-06-20,Starter,47,Canceled,2024-02-11,376,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
75,"Bennett, Heath and Lynch",2024-04-08,Starter,47,Active,2024-10-29,752,122,Technical Issue,Medium,2024-11-01,,Open,0.0,0.0
76,Tucker LLC,2024-04-20,Professional,97,Active,2024-08-30,873,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
77,Johnson Group,2024-05-17,Starter,47,Active,2024-10-09,282,638,Login Issues,High,2024-03-07,2024-03-26,Resolved,4.0,19.0
78,"Brown, Atkins and Hood",2023-04-03,Starter,47,Canceled,2024-10-05,470,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
79,"Lee, Bennett and Johnson",2023-05-06,Enterprise,199,Canceled,2024-11-30,1592,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
80,Vaughn Group,2024-06-25,Starter,47,Canceled,2024-07-28,282,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
81,Bowen and Sons,2023-09-19,Professional,97,Active,2023-12-23,1843,664,Other,Medium,2024-04-19,,Open,0.0,0.0
82,Hughes PLC,2024-11-11,Starter,47,Canceled,2025-01-06,329,307,Technical Issue,Medium,2024-08-17,,Open,0.0,0.0
83,"Castro, Holt and Freeman",2023-06-14,Enterprise,199,Active,2023-08-27,3383,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
84,"Kline, Livingston and Mccall",2024-11-03,Starter,47,Active,2025-01-31,235,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
85,Thompson-Gonzalez,2023-09-17,Starter,47,Active,2024-05-09,423,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
86,Martin Group,2024-04-21,Enterprise,199,Active,2024-08-25,796,45,Technical Issue,Medium,2024-12-19,,Open,0.0,0.0
87,Cooke-Riley,2024-03-22,Starter,47,Active,2024-12-01,141,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
88,Johnston Group,2024-08-27,Starter,47,Active,2025-01-01,517,91,Billing Query,Medium,2024-07-20,2024-08-02,Resolved,2.0,13.0
89,Morgan-Dillon,2023-05-05,Starter,47,Canceled,2024-10-07,141,894,Billing Query,Low,2024-12-22,,Open,0.0,0.0
90,Hicks Ltd,2024-11-12,Professional,97,Active,2025-01-27,970,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
91,Stein and Sons,2023-10-14,Enterprise,199,Canceled,2024-05-17,1791,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
92,Collins PLC,2023-03-13,Enterprise,199,Active,2024-06-17,1791,692,Feature Request,High,2024-04-01,2024-04-06,In Progress,0.0,5.0
93,"Ware, Gibson and Roberts",2024-09-04,Starter,47,Active,2024-09-13,1081,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
94,Ramos Ltd,2023-05-22,Professional,97,Canceled,2023-11-03,582,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
95,"Williams, Reyes and Nelson",2023-07-31,Starter,47,Active,2023-09-23,94,758,Feature Request,Low,2024-08-08,2024-08-10,In Progress,0.0,2.0
96,Johnston LLC,2024-04-28,Professional,97,Active,2024-11-14,1940,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
97,Booker LLC,2024-09-10,Enterprise,199,Active,2025-01-20,3582,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
98,"Delgado, Frazier and Davis",2023-09-06,Enterprise,199,Canceled,2024-04-08,398,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
99,Gomez-Robertson,2023-10-23,Starter,47,Canceled,2023-12-18,235,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
100,Lara-Harris,2024-03-02,Enterprise,199,Active,2024-04-21,1194,790,Billing Query,Low,2024-06-13,,Open,0.0,0.0
101,"Franklin, Lee and Reyes",2023-08-07,Enterprise,199,Active,2024-05-11,3383,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
102,"Boyer, Howard and Taylor",2025-01-13,Enterprise,199,Active,2025-01-24,1592,468,Billing Query,Medium,2024-05-21,2024-06-07,Resolved,4.0,17.0
103,"Johnston, Sharp and Hopkins",2024-11-22,Enterprise,199,Active,2024-12-05,597,776,Feature Request,Medium,2024-10-01,,Open,0.0,0.0
104,Pope Inc,2024-11-08,Professional,97,Canceled,2024-11-24,485,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
105,Gibson-Farmer,2023-12-11,Enterprise,199,Active,2024-10-24,3383,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
106,"Duncan, Arnold and Rivas",2024-05-08,Starter,47,Canceled,2024-08-21,517,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
107,"Powell, Anderson and Simpson",2024-01-18,Enterprise,199,Canceled,2024-09-18,995,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
108,Fields Inc,2023-05-31,Starter,47,Canceled,2023-09-05,282,544,Login Issues,Low,2025-01-31,2025-02-27,Resolved,5.0,27.0
108,Fields Inc,2023-05-31,Starter,47,Canceled,2023-09-05,282,812,Login Issues,Medium,2024-04-21,2024-04-27,In Progress,0.0,6.0
109,"Perry, Nguyen and Rose",2023-07-20,Enterprise,199,Canceled,2023-12-08,1592,48,Technical Issue,High,2024-09-12,2024-09-23,Resolved,3.0,11.0
109,"Perry, Nguyen and Rose",2023-07-20,Enterprise,199,Canceled,2023-12-08,1592,632,Feature Request,Low,2025-01-02,2025-01-16,Resolved,5.0,14.0
110,Clark-Bowman,2024-03-14,Enterprise,199,Active,2024-04-10,4577,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
111,Ryan-Byrd,2024-10-21,Enterprise,199,Active,2024-11-02,1393,62,Login Issues,Medium,2024-05-18,,Open,0.0,0.0
112,Horton-Jarvis,2023-10-23,Starter,47,Canceled,2024-02-23,141,124,Feature Request,High,2024-12-25,2025-01-11,Resolved,3.0,17.0
113,Carpenter and Sons,2024-02-12,Starter,47,Active,2024-12-19,564,150,Feature Request,Low,2024-04-16,2024-04-21,In Progress,0.0,5.0
114,"Ryan, Meyer and Jenkins",2023-12-22,Professional,97,Active,2024-03-15,1358,442,Feature Request,Low,2025-01-20,,Open,0.0,0.0
115,"Martinez, Brown and Watson",2023-10-08,Enterprise,199,Active,2024-09-23,3383,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
116,"Warren, Daugherty and Garcia",2024-09-04,Professional,97,Canceled,2024-12-28,776,757,Technical Issue,High,2024-09-24,2024-10-14,Resolved,2.0,20.0
117,Oneill-Ramsey,2024-02-12,Professional,97,Active,2024-09-03,1552,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
118,Estrada-Flynn,2024-08-29,Enterprise,199,Active,2024-09-16,4378,281,Technical Issue,Medium,2025-01-09,2025-02-06,Resolved,2.0,28.0
119,Henderson PLC,2023-11-08,Professional,97,Active,2024-06-21,970,547,Login Issues,Medium,2024-05-11,,Open,0.0,0.0
119,Henderson PLC,2023-11-08,Professional,97,Active,2024-06-21,970,766,Other,Medium,2024-04-06,2024-04-21,In Progress,0.0,15.0
120,Boyd-Warren,2024-07-24,Professional,97,Active,2024-10-03,679,366,Login Issues,Low,2024-08-17,,Open,0.0,0.0
121,Burke Inc,2025-01-07,Starter,47,Active,2025-01-25,235,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
122,Flores-Oneal,2023-06-03,Enterprise,199,Active,2024-02-04,2388,358,Billing Query,Low,2024-11-26,2024-12-19,Resolved,5.0,23.0
123,Russell-Smith,2024-05-22,Enterprise,199,Canceled,2024-12-02,1194,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
124,"Nguyen, Sanders and Thomas",2024-03-09,Enterprise,199,Active,2024-07-15,3184,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
125,"Taylor, Pierce and Walton",2024-07-01,Starter,47,Active,2024-10-16,940,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
126,Levine Inc,2024-01-11,Professional,97,Canceled,2024-10-31,485,734,Login Issues,Low,2024-12-31,2025-01-11,In Progress,0.0,11.0
127,Thompson-Castro,2023-08-21,Professional,97,Canceled,2023-11-04,388,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
128,Allen PLC,2023-06-19,Professional,97,Active,2023-06-22,679,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
129,Flores LLC,2023-07-12,Starter,47,Canceled,2024-10-05,329,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
130,"Farley, Goodman and Jones",2023-04-14,Enterprise,199,Canceled,2023-05-19,1592,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
131,Scott-Trevino,2024-09-12,Professional,97,Active,2025-01-20,1164,839,Feature Request,High,2024-05-08,2024-05-24,Resolved,2.0,16.0
132,Wilcox and Sons,2025-02-01,Professional,97,Canceled,2025-02-01,485,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
133,Clark-Barnes,2024-08-24,Enterprise,199,Active,2024-12-23,1592,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
134,"Lopez, Owens and Rodriguez",2023-02-23,Professional,97,Canceled,2024-06-14,1067,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
135,Johnson-Wright,2024-11-30,Starter,47,Canceled,2024-12-10,564,516,Technical Issue,Low,2024-09-17,2024-09-23,In Progress,0.0,6.0
136,"Williams, Long and Maynard",2024-02-01,Enterprise,199,Canceled,2024-10-31,1393,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
137,Allen-Armstrong,2023-04-13,Starter,47,Active,2024-08-28,470,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
138,"Lambert, Clements and Clark",2024-04-14,Enterprise,199,Active,2024-08-07,3980,70,Billing Query,Medium,2024-05-03,2024-05-31,Resolved,2.0,28.0
138,"Lambert, Clements and Clark",2024-04-14,Enterprise,199,Active,2024-08-07,3980,771,Billing Query,High,2024-04-05,2024-05-04,In Progress,0.0,29.0
138,"Lambert, Clements and Clark",2024-04-14,Enterprise,199,Active,2024-08-07,3980,814,Billing Query,Low,2024-05-18,2024-05-30,In Progress,0.0,12.0
139,Greene-Hoffman,2023-04-28,Professional,97,Canceled,2024-07-08,97,269,Feature Request,Low,2024-06-27,,Open,0.0,0.0
140,Palmer Group,2023-03-30,Starter,47,Canceled,2024-11-08,282,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
141,"Johnson, Johnson and Reyes",2023-04-28,Starter,47,Canceled,2024-03-05,141,697,Technical Issue,High,2024-07-06,2024-08-02,Resolved,3.0,27.0
142,"West, Nguyen and Henderson",2024-03-02,Enterprise,199,Active,2024-12-11,4179,536,Billing Query,High,2024-11-25,2024-12-14,Resolved,1.0,19.0
143,Clark LLC,2024-01-05,Enterprise,199,Canceled,2024-02-13,2388,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
144,Stevenson-Smith,2023-07-22,Professional,97,Active,2024-05-15,388,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
145,"Davidson, Wells and Sullivan",2023-12-21,Professional,97,Canceled,2024-01-14,194,719,Login Issues,Medium,2024-11-02,2024-11-15,Resolved,3.0,13.0
146,Stephenson Group,2023-07-09,Professional,97,Active,2024-03-02,2231,770,Technical Issue,Medium,2024-05-15,2024-06-02,Resolved,3.0,18.0
146,Stephenson Group,2023-07-09,Professional,97,Active,2024-03-02,2231,885,Other,Medium,2024-08-05,,Open,0.0,0.0
147,"Brooks, Kelly and Stafford",2023-06-30,Enterprise,199,Canceled,2023-07-11,1791,672,Other,High,2024-10-11,2024-10-16,In Progress,0.0,5.0
148,"Salinas, Watkins and Carter",2024-09-10,Enterprise,199,Canceled,2024-09-13,2388,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
149,Lewis-Blevins,2024-07-23,Enterprise,199,Active,2024-10-11,597,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
150,Crosby-Bishop,2024-04-03,Professional,97,Canceled,2024-09-17,582,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
151,Diaz PLC,2024-08-06,Professional,97,Active,2025-01-16,2037,79,Other,Low,2024-12-04,2024-12-20,In Progress,0.0,16.0
152,Shaw-Thompson,2024-05-16,Professional,97,Active,2024-10-28,776,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
153,"Ortiz, Mccormick and Morgan",2024-09-13,Enterprise,199,Canceled,2024-11-10,796,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
154,"Smith, Zimmerman and Brock",2025-01-17,Enterprise,199,Canceled,2025-01-23,796,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
155,Jackson LLC,2023-06-08,Professional,97,Active,2024-05-26,2134,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
156,Thompson-Aguilar,2025-01-05,Enterprise,199,Canceled,2025-01-13,1194,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
157,"Miller, Robinson and Keller",2025-01-22,Starter,47,Active,2025-01-29,94,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
158,Ellis Group,2025-01-23,Professional,97,Active,2025-01-25,873,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
159,Mason Ltd,2024-03-06,Starter,47,Active,2025-01-11,611,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
160,Yang Ltd,2024-12-10,Enterprise,199,Canceled,2024-12-17,796,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
161,Dawson and Sons,2024-01-12,Professional,97,Active,2024-05-29,97,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
162,"Davis, Walker and Brown",2024-06-02,Starter,47,Canceled,2024-09-30,282,23,Technical Issue,Low,2024-09-08,,Open,0.0,0.0
163,"Morgan, Anderson and Sweeney",2024-11-06,Professional,97,Canceled,2024-12-14,388,349,Other,High,2024-12-01,2024-12-20,Resolved,1.0,19.0
164,"Jensen, Ray and Brooks",2025-01-16,Enterprise,199,Active,2025-01-16,1791,295,Other,Medium,2024-02-11,,Open,0.0,0.0
164,"Jensen, Ray and Brooks",2025-01-16,Enterprise,199,Active,2025-01-16,1791,304,Feature Request,Low,2024-08-02,2024-08-04,Resolved,4.0,2.0
165,Park-Dalton,2024-09-09,Professional,97,Active,2024-09-21,2328,0,No Support Ticket,No Support Ticket,,,No Support Ticket,0.0,0.0
166,Watkins Inc,2024-07-15,Starter,47,Canceled,2025-01-31,47,226,Billing Query,Low,2024-03-18,2024-03-25,Resolved,5.0,7.0
